[?1034hname                                              b-only fit            s+b fit         rho
CMS_eff_m                                     * -0.57, 0.78*     * -0.03, 0.86*       +0.42
monojet_stat_error_dimuonCR_bin17                +0.10, 0.97        +0.00, 0.97       -0.06
monojet_stat_error_dimuonCR_bin18                +0.14, 0.97        -0.00, 0.98       -0.09
monojet_stat_error_dimuonCR_bin3                 +0.03, 0.97        -0.00, 0.97       -0.02
monojet_stat_error_dimuonCR_bin4                 +0.03, 0.97        +0.00, 0.97       -0.02
monojet_stat_error_dimuonCR_bin5                 +0.04, 0.97        +0.00, 0.97       -0.03
monojet_stat_error_dimuonCR_bin6                 +0.04, 0.96        +0.00, 0.96       -0.03
monojet_stat_error_dimuonCR_bin7                 +0.04, 0.97        +0.00, 0.97       -0.03
monojet_stat_error_dimuonCR_bin8                 +0.05, 0.97        +0.00, 0.97       -0.03
monojet_stat_error_dimuonCR_bin9                 +0.04, 0.97        -0.00, 0.97       -0.03
monojet_stat_error_photonCR_bin0                 +0.01, 0.94        -0.00, 0.95       -0.01
monojet_stat_error_photonCR_bin1                 -0.02, 0.95        -0.00, 0.95       +0.01
monojet_stat_error_photonCR_bin10                -0.01, 0.93        +0.00, 0.93       +0.01
monojet_stat_error_photonCR_bin11                -0.03, 0.92        +0.00, 0.92       +0.02
monojet_stat_error_photonCR_bin12                -0.03, 0.92        +0.00, 0.92       +0.01
monojet_stat_error_photonCR_bin13                -0.02, 0.91        -0.00, 0.91       +0.02
monojet_stat_error_photonCR_bin14                +0.00, 0.94        +0.00, 0.94       -0.01
monojet_stat_error_photonCR_bin15                +0.01, 0.93        +0.00, 0.93       -0.01
monojet_stat_error_photonCR_bin16                -0.01, 0.95        -0.00, 0.95       +0.00
monojet_stat_error_photonCR_bin17                +0.04, 0.96        +0.00, 0.96       -0.03
monojet_stat_error_photonCR_bin18                +0.20, 0.94        +0.00, 0.95       -0.12
monojet_stat_error_photonCR_bin2                 -0.01, 0.95        -0.00, 0.95       -0.00
monojet_stat_error_photonCR_bin3                 -0.01, 0.95        -0.00, 0.95       +0.00
monojet_stat_error_photonCR_bin4                 -0.01, 0.95        -0.00, 0.95       +0.01
monojet_stat_error_photonCR_bin5                 -0.00, 0.95        +0.00, 0.95       -0.00
monojet_stat_error_photonCR_bin6                 -0.02, 0.94        -0.00, 0.94       +0.01
monojet_stat_error_photonCR_bin7                 -0.01, 0.94        -0.00, 0.93       +0.01
monojet_stat_error_photonCR_bin8                 -0.00, 0.93        +0.00, 0.93       +0.00
monojet_stat_error_photonCR_bin9                 -0.02, 0.93        -0.00, 0.93       +0.01
monojet_stat_error_singlemuonCR_bin0          * +0.02, 0.84*     * +0.00, 0.84*       -0.02
monojet_stat_error_singlemuonCR_bin1          * -0.02, 0.87*     * +0.00, 0.87*       +0.01
monojet_stat_error_singlemuonCR_bin10         * +0.05, 0.87*     * +0.00, 0.87*       -0.04
monojet_stat_error_singlemuonCR_bin11         * +0.01, 0.89*     * +0.00, 0.90*       -0.01
monojet_stat_error_singlemuonCR_bin12         * +0.02, 0.89*     * +0.00, 0.89*       -0.01
monojet_stat_error_singlemuonCR_bin13            +0.02, 0.93        -0.00, 0.93       -0.01
monojet_stat_error_singlemuonCR_bin14            +0.08, 0.92        +0.00, 0.92       -0.05
monojet_stat_error_singlemuonCR_bin15            +0.07, 0.92        -0.00, 0.92       -0.05
monojet_stat_error_singlemuonCR_bin16            +0.06, 0.93        -0.00, 0.93       -0.04
monojet_stat_error_singlemuonCR_bin17            +0.17, 0.94        +0.00, 0.94       -0.11
monojet_stat_error_singlemuonCR_bin18            +0.27, 0.95        -0.00, 0.97       -0.19
monojet_stat_error_singlemuonCR_bin2          * +0.02, 0.87*     * -0.00, 0.87*       -0.02
monojet_stat_error_singlemuonCR_bin3          * +0.03, 0.87*     * -0.00, 0.87*       -0.03
monojet_stat_error_singlemuonCR_bin4          * +0.03, 0.86*     * +0.00, 0.86*       -0.03
monojet_stat_error_singlemuonCR_bin5          * +0.06, 0.86*     * +0.00, 0.86*       -0.05
monojet_stat_error_singlemuonCR_bin6          * +0.04, 0.87*     * +0.01, 0.87*       -0.03
monojet_stat_error_singlemuonCR_bin7          * +0.04, 0.88*     * -0.00, 0.88*       -0.03
monojet_stat_error_singlemuonCR_bin8             +0.06, 0.90        +0.00, 0.90       -0.05
monojet_stat_error_singlemuonCR_bin9          * +0.03, 0.89*     * +0.00, 0.89*       -0.01
mr                                               +0.04, 0.99        +0.00, 0.99       -0.02
mr2                                           * -0.18, 0.56*     * -0.00, 0.59*       +0.23
pdf                                              +0.04, 0.99        +0.00, 0.99       -0.04
pdf_CT10                                         -0.08, 0.99        -0.00, 0.99       +0.06
pdf_gg                                           +0.00, 0.99        +0.00, 0.99       -0.08
pdf_qqbar                                        +0.00, 0.99        -0.00, 0.99       -0.01
photon_purity                                    +0.05, 0.99        +0.00, 0.97       -0.02
qcd_Norm8TeV                                     -0.04, 0.97        +0.00, 0.98       +0.03
tauEff8TeV                                    * +0.33, 0.88*     * -0.00, 0.89*       -0.24
top_Norm8TeV                                     -0.08, 0.99        -0.00, 0.99       +0.06
vv_Norm8TeV                                      -0.04, 0.99        -0.00, 0.99       +0.03
